identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area,mean_R,mean_G,mean_B,std_R,std_G,std_B,skew_R,skew_G,skew_B,entropy_R,entropy_G,entropy_B,mean_H,mean_S,mean_V,lbp_mean,lbp_std,lbp_entropy
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.994,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0,0.4379,0.6198,0.4956,1.0,0.4812,0.6095,3.4566,2.5468,1.0,0.2094,3.644,0.5733226274495679,0.3732018752476496,0.223374144767243,0.3745535007108498,0.2907441079740106,0.2116274354206321,0.1543780885951533,0.2718420648151605,0.2718099693812945,0.6238131263572799,0.4930694496184893,0.4280306432738272,0.0040241598803119,0.903594009152062,0.5733213537923992,2.775557561562892e-17,0.2459916995892959,0.7299786478524908
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.994,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0,0.4379,0.6198,0.4956,1.0,0.4812,0.6095,3.4566,2.5468,1.0,0.2094,3.644,0.5733226274495679,0.3732018752476496,0.223374144767243,0.3745535007108498,0.2907441079740106,0.2116274354206321,0.1543780885951533,0.2718420648151605,0.2718099693812945,0.6238131263572799,0.4930694496184893,0.4280306432738272,0.0040241598803119,0.903594009152062,0.5733213537923992,2.775557561562892e-17,0.2459916995892959,0.7299786478524908
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.53,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0,0.5244,0.5739,0.7612,1.0,0.4415,0.5951,3.1802,1.0645,1.0,2.458,3.8961,0.8190211372995283,0.5782175922074635,0.3125651270493431,0.4069558099904793,0.3946506767788003,0.2638427547305697,0.1042694326242354,0.2437276909191776,0.2757690492294466,0.6094522316426381,0.5543943121638439,0.4605418121480817,0.0423333976697202,0.9370967881484328,0.8190196137032842,1.3877787807814457e-17,0.4169321258180902,0.5457847473669091
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.53,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0,0.5244,0.5739,0.7612,1.0,0.4415,0.5951,3.1802,1.0645,1.0,2.458,3.8961,0.8190211372995283,0.5782175922074635,0.3125651270493431,0.4069558099904793,0.3946506767788003,0.2638427547305697,0.1042694326242354,0.2437276909191776,0.2757690492294466,0.6094522316426381,0.5543943121638439,0.4605418121480817,0.0423333976697202,0.9370967881484328,0.8190196137032842,1.3877787807814457e-17,0.4169321258180902,0.5457847473669091
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.53,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0,0.5244,0.5739,0.7612,1.0,0.4415,0.5951,3.1802,1.0645,1.0,2.458,3.8961,0.8190211372995283,0.5782175922074635,0.3125651270493431,0.4069558099904793,0.3946506767788003,0.2638427547305697,0.1042694326242354,0.2437276909191776,0.2757690492294466,0.6094522316426381,0.5543943121638439,0.4605418121480817,0.0423333976697202,0.9370967881484328,0.8190196137032842,1.3877787807814457e-17,0.4169321258180902,0.5457847473669091
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.53,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0,0.5244,0.5739,0.7612,1.0,0.4415,0.5951,3.1802,1.0645,1.0,2.458,3.8961,0.8190211372995283,0.5782175922074635,0.3125651270493431,0.4069558099904793,0.3946506767788003,0.2638427547305697,0.1042694326242354,0.2437276909191776,0.2757690492294466,0.6094522316426381,0.5543943121638439,0.4605418121480817,0.0423333976697202,0.9370967881484328,0.8190196137032842,1.3877787807814457e-17,0.4169321258180902,0.5457847473669091
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.018,1.0233,1.487,1.051,1.0023,2.9291,1.0,0.6097,0.4264,0.519,1.0,0.4424,0.4531,3.1429,4.359,1.0,2.0508,3.4506,0.5727686159250714,0.3857524548216611,0.2238266794206838,0.4352924475239518,0.3271887467648867,0.2203570945430554,0.1673599640944278,0.2562755516160243,0.2655008587897686,0.6965339295262223,0.5454648404294731,0.438064521170985,0.020395563765881,0.890538373879386,0.5727672586268687,2.775557561562892e-17,0.204821574630416,0.8073676094634266
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.018,1.0233,1.487,1.051,1.0023,2.9291,1.0,0.6097,0.4264,0.519,1.0,0.4424,0.4531,3.1429,4.359,1.0,2.0508,3.4506,0.5727686159250714,0.3857524548216611,0.2238266794206838,0.4352924475239518,0.3271887467648867,0.2203570945430554,0.1673599640944278,0.2562755516160243,0.2655008587897686,0.6965339295262223,0.5454648404294731,0.438064521170985,0.020395563765881,0.890538373879386,0.5727672586268687,2.775557561562892e-17,0.204821574630416,0.8073676094634266
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.018,1.0233,1.487,1.051,1.0023,2.9291,1.0,0.6097,0.4264,0.519,1.0,0.4424,0.4531,3.1429,4.359,1.0,2.0508,3.4506,0.5727686159250714,0.3857524548216611,0.2238266794206838,0.4352924475239518,0.3271887467648867,0.2203570945430554,0.1673599640944278,0.2562755516160243,0.2655008587897686,0.6965339295262223,0.5454648404294731,0.438064521170985,0.020395563765881,0.890538373879386,0.5727672586268687,2.775557561562892e-17,0.204821574630416,0.8073676094634266
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.018,1.0233,1.487,1.051,1.0023,2.9291,1.0,0.6097,0.4264,0.519,1.0,0.4424,0.4531,3.1429,4.359,1.0,2.0508,3.4506,0.5727686159250714,0.3857524548216611,0.2238266794206838,0.4352924475239518,0.3271887467648867,0.2203570945430554,0.1673599640944278,0.2562755516160243,0.2655008587897686,0.6965339295262223,0.5454648404294731,0.438064521170985,0.020395563765881,0.890538373879386,0.5727672586268687,2.775557561562892e-17,0.204821574630416,0.8073676094634266
bs005,N,bs005_N_N_0.lm3,0.5674,1.49,1.0705,1.7548,1.07,1.0446,1.4016,0.8039,0.787,2.5168,1.0,0.4297,0.4973,0.5269,1.0,0.6435,0.5931,2.3848,1.4528,1.0,1.4865,3.6905,0.8083045188662582,0.5404366797175726,0.3127272584769791,0.2522805686011724,0.3211105794461275,0.2309982944939177,0.2237659593908462,0.4016167751971141,0.4202762539998304,0.5480704693011149,0.4522361846624263,0.3631971387115706,0.0124684155129559,0.944474694220136,0.8083030134600099,2.775557561562892e-17,0.0744967805829945,0.9581256116336548
bs005,N,bs005_N_N_1.lm3,0.596,1.4302,0.8948,1.7334,1.2315,1.1122,1.3948,0.8265,0.7582,2.5656,1.0,0.2482,0.6279,0.5825,1.0,0.6038,0.56,4.2939,1.2357,1.0,3.7361,3.6224,0.7711319303958394,0.4737166360199811,0.2409363011966823,0.3793812205873061,0.1801791837938077,0.0895848803053087,0.0199051007665965,0.0232745918240611,0.0351623102428174,0.5382995007155063,0.4122141136862924,0.3138842467253302,0.0735544735664762,0.9672824204104524,0.7711307242569342,4.163336342344337e-17,0.1145604266325435,0.8775584263548595
bs005,N,bs005_N_N_0.lm3,0.5674,1.49,1.0705,1.7548,1.07,1.0446,1.4016,0.8039,0.787,2.5168,1.0,0.4297,0.4973,0.5269,1.0,0.6435,0.5931,2.3848,1.4528,1.0,1.4865,3.6905,0.8083045188662582,0.5404366797175726,0.3127272584769791,0.2522805686011724,0.3211105794461275,0.2309982944939177,0.2237659593908462,0.4016167751971141,0.4202762539998304,0.5480704693011149,0.4522361846624263,0.3631971387115706,0.0124684155129559,0.944474694220136,0.8083030134600099,2.775557561562892e-17,0.0744967805829945,0.9581256116336548
bs005,N,bs005_N_N_0.lm3,0.5674,1.49,1.0705,1.7548,1.07,1.0446,1.4016,0.8039,0.787,2.5168,1.0,0.4297,0.4973,0.5269,1.0,0.6435,0.5931,2.3848,1.4528,1.0,1.4865,3.6905,0.8083045188662582,0.5404366797175726,0.3127272584769791,0.2522805686011724,0.3211105794461275,0.2309982944939177,0.2237659593908462,0.4016167751971141,0.4202762539998304,0.5480704693011149,0.4522361846624263,0.3631971387115706,0.0124684155129559,0.944474694220136,0.8083030134600099,2.775557561562892e-17,0.0744967805829945,0.9581256116336548
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0,0.4689,0.4097,0.5937,1.0,0.464,0.4995,1.8324,1.3562,1.0,0.1041,3.4358,0.7850489798385419,0.5328863001011077,0.30885877022358,0.3070365335289311,0.2196940643156115,0.1432901334779764,0.067940018387836,0.2114191190956981,0.2755191734613532,0.5425173563789945,0.3771340267501322,0.2878237141708011,0.0729949626909747,0.9038885516656558,0.7850475770268707,2.775557561562892e-17,0.1754391222117695,0.792151140581808
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0,0.4689,0.4097,0.5937,1.0,0.464,0.4995,1.8324,1.3562,1.0,0.1041,3.4358,0.7850489798385419,0.5328863001011077,0.30885877022358,0.3070365335289311,0.2196940643156115,0.1432901334779764,0.067940018387836,0.2114191190956981,0.2755191734613532,0.5425173563789945,0.3771340267501322,0.2878237141708011,0.0729949626909747,0.9038885516656558,0.7850475770268707,2.775557561562892e-17,0.1754391222117695,0.792151140581808
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0,0.4689,0.4097,0.5937,1.0,0.464,0.4995,1.8324,1.3562,1.0,0.1041,3.4358,0.7850489798385419,0.5328863001011077,0.30885877022358,0.3070365335289311,0.2196940643156115,0.1432901334779764,0.067940018387836,0.2114191190956981,0.2755191734613532,0.5425173563789945,0.3771340267501322,0.2878237141708011,0.0729949626909747,0.9038885516656558,0.7850475770268707,2.775557561562892e-17,0.1754391222117695,0.792151140581808
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0,0.4689,0.4097,0.5937,1.0,0.464,0.4995,1.8324,1.3562,1.0,0.1041,3.4358,0.7850489798385419,0.5328863001011077,0.30885877022358,0.3070365335289311,0.2196940643156115,0.1432901334779764,0.067940018387836,0.2114191190956981,0.2755191734613532,0.5425173563789945,0.3771340267501322,0.2878237141708011,0.0729949626909747,0.9038885516656558,0.7850475770268707,2.775557561562892e-17,0.1754391222117695,0.792151140581808
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.862,1.046,1.1678,1.538,0.9833,0.9501,2.8583,1.0,0.4578,0.4451,0.5885,1.0,0.5314,0.5647,1.7497,1.4299,1.0,0.7038,3.5875,0.6904634491431353,0.4018891629896141,0.2444352150467391,0.213267537909969,0.198489883405707,0.1529238448030449,0.0876190331583433,0.3340486834649427,0.351779163887912,0.4535712600916683,0.341231567252608,0.3116806547033826,0.0304389670632681,0.9424259412855772,0.6904625292684695,2.775557561562892e-17,0.1305264896296289,0.8407370814824091
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.862,1.046,1.1678,1.538,0.9833,0.9501,2.8583,1.0,0.4578,0.4451,0.5885,1.0,0.5314,0.5647,1.7497,1.4299,1.0,0.7038,3.5875,0.6904634491431353,0.4018891629896141,0.2444352150467391,0.213267537909969,0.198489883405707,0.1529238448030449,0.0876190331583433,0.3340486834649427,0.351779163887912,0.4535712600916683,0.341231567252608,0.3116806547033826,0.0304389670632681,0.9424259412855772,0.6904625292684695,2.775557561562892e-17,0.1305264896296289,0.8407370814824091
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.862,1.046,1.1678,1.538,0.9833,0.9501,2.8583,1.0,0.4578,0.4451,0.5885,1.0,0.5314,0.5647,1.7497,1.4299,1.0,0.7038,3.5875,0.6904634491431353,0.4018891629896141,0.2444352150467391,0.213267537909969,0.198489883405707,0.1529238448030449,0.0876190331583433,0.3340486834649427,0.351779163887912,0.4535712600916683,0.341231567252608,0.3116806547033826,0.0304389670632681,0.9424259412855772,0.6904625292684695,2.775557561562892e-17,0.1305264896296289,0.8407370814824091
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.862,1.046,1.1678,1.538,0.9833,0.9501,2.8583,1.0,0.4578,0.4451,0.5885,1.0,0.5314,0.5647,1.7497,1.4299,1.0,0.7038,3.5875,0.6904634491431353,0.4018891629896141,0.2444352150467391,0.213267537909969,0.198489883405707,0.1529238448030449,0.0876190331583433,0.3340486834649427,0.351779163887912,0.4535712600916683,0.341231567252608,0.3116806547033826,0.0304389670632681,0.9424259412855772,0.6904625292684695,2.775557561562892e-17,0.1305264896296289,0.8407370814824091
bs008,N,bs008_N_N_0.lm3,0.5792,1.6741,1.1267,1.7891,1.1128,1.1339,1.5734,1.0124,0.9114,2.8692,1.0,0.4176,0.6717,0.5772,1.0,0.6248,0.7744,6.5807,2.5495,1.0,3.3286,4.0657,0.6294860509125445,0.401967468739325,0.2166802881093698,0.2723465477500165,0.2368855505288075,0.1662574267520379,0.0958608044821824,0.2528852533356959,0.2798846505387847,0.5627932512922906,0.4301912140573676,0.3410395662185519,0.0231492111139177,0.9512826962117252,0.629486414885097,2.775557561562892e-17,0.1364344634009429,0.861871409882589
bs008,N,bs008_N_N_0.lm3,0.5792,1.6741,1.1267,1.7891,1.1128,1.1339,1.5734,1.0124,0.9114,2.8692,1.0,0.4176,0.6717,0.5772,1.0,0.6248,0.7744,6.5807,2.5495,1.0,3.3286,4.0657,0.6294860509125445,0.401967468739325,0.2166802881093698,0.2723465477500165,0.2368855505288075,0.1662574267520379,0.0958608044821824,0.2528852533356959,0.2798846505387847,0.5627932512922906,0.4301912140573676,0.3410395662185519,0.0231492111139177,0.9512826962117252,0.629486414885097,2.775557561562892e-17,0.1364344634009429,0.861871409882589
bs008,N,bs008_N_N_0.lm3,0.5792,1.6741,1.1267,1.7891,1.1128,1.1339,1.5734,1.0124,0.9114,2.8692,1.0,0.4176,0.6717,0.5772,1.0,0.6248,0.7744,6.5807,2.5495,1.0,3.3286,4.0657,0.6294860509125445,0.401967468739325,0.2166802881093698,0.2723465477500165,0.2368855505288075,0.1662574267520379,0.0958608044821824,0.2528852533356959,0.2798846505387847,0.5627932512922906,0.4301912140573676,0.3410395662185519,0.0231492111139177,0.9512826962117252,0.629486414885097,2.775557561562892e-17,0.1364344634009429,0.861871409882589
bs008,N,bs008_N_N_0.lm3,0.5792,1.6741,1.1267,1.7891,1.1128,1.1339,1.5734,1.0124,0.9114,2.8692,1.0,0.4176,0.6717,0.5772,1.0,0.6248,0.7744,6.5807,2.5495,1.0,3.3286,4.0657,0.6294860509125445,0.401967468739325,0.2166802881093698,0.2723465477500165,0.2368855505288075,0.1662574267520379,0.0958608044821824,0.2528852533356959,0.2798846505387847,0.5627932512922906,0.4301912140573676,0.3410395662185519,0.0231492111139177,0.9512826962117252,0.629486414885097,2.775557561562892e-17,0.1364344634009429,0.861871409882589
bs009,N,bs009_N_N_0.lm3,0.8417,1.6987,0.9974,1.7838,1.1438,1.1388,1.6771,1.0386,1.0288,3.0095,1.0,0.4581,0.4676,0.5941,1.0,0.4968,0.521,1.5764,1.1895,1.0,0.4754,3.5376,0.4909018903070753,0.3321631848810948,0.1795496053047501,0.3168499202946868,0.3195131210695403,0.2191946328162795,0.2664520046838068,0.3928680306804577,0.4158023752713049,0.5878990805639277,0.4149313460921329,0.3166401504388398,0.0322346618519802,0.9103011503946276,0.4909005882947069,2.775557561562892e-17,0.2489669874835014,0.6778882518345597
bs009,N,bs009_N_N_0.lm3,0.8417,1.6987,0.9974,1.7838,1.1438,1.1388,1.6771,1.0386,1.0288,3.0095,1.0,0.4581,0.4676,0.5941,1.0,0.4968,0.521,1.5764,1.1895,1.0,0.4754,3.5376,0.4909018903070753,0.3321631848810948,0.1795496053047501,0.3168499202946868,0.3195131210695403,0.2191946328162795,0.2664520046838068,0.3928680306804577,0.4158023752713049,0.5878990805639277,0.4149313460921329,0.3166401504388398,0.0322346618519802,0.9103011503946276,0.4909005882947069,2.775557561562892e-17,0.2489669874835014,0.6778882518345597
bs009,N,bs009_N_N_0.lm3,0.8417,1.6987,0.9974,1.7838,1.1438,1.1388,1.6771,1.0386,1.0288,3.0095,1.0,0.4581,0.4676,0.5941,1.0,0.4968,0.521,1.5764,1.1895,1.0,0.4754,3.5376,0.4909018903070753,0.3321631848810948,0.1795496053047501,0.3168499202946868,0.3195131210695403,0.2191946328162795,0.2664520046838068,0.3928680306804577,0.4158023752713049,0.5878990805639277,0.4149313460921329,0.3166401504388398,0.0322346618519802,0.9103011503946276,0.4909005882947069,2.775557561562892e-17,0.2489669874835014,0.6778882518345597
bs009,N,bs009_N_N_0.lm3,0.8417,1.6987,0.9974,1.7838,1.1438,1.1388,1.6771,1.0386,1.0288,3.0095,1.0,0.4581,0.4676,0.5941,1.0,0.4968,0.521,1.5764,1.1895,1.0,0.4754,3.5376,0.4909018903070753,0.3321631848810948,0.1795496053047501,0.3168499202946868,0.3195131210695403,0.2191946328162795,0.2664520046838068,0.3928680306804577,0.4158023752713049,0.5878990805639277,0.4149313460921329,0.3166401504388398,0.0322346618519802,0.9103011503946276,0.4909005882947069,2.775557561562892e-17,0.2489669874835014,0.6778882518345597
bs010,N,bs010_N_N_0.lm3,1.004,1.8627,0.9608,2.0122,1.3662,1.1185,1.8403,1.1585,1.1686,3.2654,1.0,0.5211,0.4695,0.6959,1.0,0.456,0.5274,2.3908,0.4757,1.0,0.1733,3.6699,0.7529306451347032,0.5063356880294769,0.280648636634614,0.3944073330959909,0.3581193203122806,0.2455434340441955,0.1043836946133341,0.2535057084033987,0.2788770230603032,0.6448356603185252,0.5025049162345683,0.4157850924591004,0.0256827986016144,0.9380872198084472,0.7529292053120898,2.775557561562892e-17,0.0599436734140903,0.9216160303498312
bs010,N,bs010_N_N_1.lm3,0.9338,1.9665,1.1277,2.0364,1.3176,1.2797,1.7751,1.1071,1.1409,3.2047,1.0,0.2818,0.6533,0.6445,1.0,0.574,0.7225,3.0098,0.0756,1.0,0.9258,3.8761,0.7003914345087804,0.4335313065420156,0.2380364121252987,0.3961999919380151,0.2543940201690301,0.1926693992398348,0.07514017630803,0.1843426564809883,0.2952042384056178,0.6314112877974023,0.4601887541389367,0.3633709084815366,0.0224248980940905,0.947435022704532,0.7003899910249637,2.775557561562892e-17,0.1911475762899313,0.7404816792747475
bs010,N,bs010_N_N_0.lm3,1.004,1.8627,0.9608,2.0122,1.3662,1.1185,1.8403,1.1585,1.1686,3.2654,1.0,0.5211,0.4695,0.6959,1.0,0.456,0.5274,2.3908,0.4757,1.0,0.1733,3.6699,0.7529306451347032,0.5063356880294769,0.280648636634614,0.3944073330959909,0.3581193203122806,0.2455434340441955,0.1043836946133341,0.2535057084033987,0.2788770230603032,0.6448356603185252,0.5025049162345683,0.4157850924591004,0.0256827986016144,0.9380872198084472,0.7529292053120898,2.775557561562892e-17,0.0599436734140903,0.9216160303498312
bs010,N,bs010_N_N_0.lm3,1.004,1.8627,0.9608,2.0122,1.3662,1.1185,1.8403,1.1585,1.1686,3.2654,1.0,0.5211,0.4695,0.6959,1.0,0.456,0.5274,2.3908,0.4757,1.0,0.1733,3.6699,0.7529306451347032,0.5063356880294769,0.280648636634614,0.3944073330959909,0.3581193203122806,0.2455434340441955,0.1043836946133341,0.2535057084033987,0.2788770230603032,0.6448356603185252,0.5025049162345683,0.4157850924591004,0.0256827986016144,0.9380872198084472,0.7529292053120898,2.775557561562892e-17,0.0599436734140903,0.9216160303498312
bs011,N,bs011_N_N_0.lm3,0.6596,1.5631,0.9734,1.7792,1.116,1.0703,1.5867,1.0618,1.0198,3.0331,1.0,0.4352,0.4661,0.5851,1.0,0.5163,0.564,3.362,0.109,1.0,1.0328,3.5667,0.7173964390325712,0.4747658163114903,0.247638380574749,0.3121842552026204,0.2508531221327497,0.1618368102705378,0.0802413921477718,0.2195410170252408,0.29055195429221,0.5649614824539078,0.4802194608043115,0.3653009838640755,0.0675950514673771,0.9496778493580076,0.7173949924566702,1.3877787807814457e-17,0.1794738935103383,0.786491743896697
bs011,N,bs011_N_N_0.lm3,0.6596,1.5631,0.9734,1.7792,1.116,1.0703,1.5867,1.0618,1.0198,3.0331,1.0,0.4352,0.4661,0.5851,1.0,0.5163,0.564,3.362,0.109,1.0,1.0328,3.5667,0.7173964390325712,0.4747658163114903,0.247638380574749,0.3121842552026204,0.2508531221327497,0.1618368102705378,0.0802413921477718,0.2195410170252408,0.29055195429221,0.5649614824539078,0.4802194608043115,0.3653009838640755,0.0675950514673771,0.9496778493580076,0.7173949924566702,1.3877787807814457e-17,0.1794738935103383,0.786491743896697
