identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area
bs034,N,bs034_N_N_0.lm3,0.3934,1.4306,1.145,1.5155,0.7907,1.0151,1.3366,0.9517,0.9567,2.7965,1.0,0.6748,0.4579,0.5613,1.0,0.6506,0.5726,2.9089,3.6486,1.0,4.4723,3.9172
bs034,N,bs034_N_N_1.lm3,0.331,1.4452,1.2349,1.7301,0.919,0.9868,1.4495,0.9569,0.8754,2.7896,1.0,0.4344,0.4557,0.6109,1.0,0.6445,0.7122,3.3382,2.6556,1.0,0.6282,3.8577
bs035,N,bs035_N_N_0.lm3,0.62,1.6314,1.2817,1.9857,1.0445,1.1307,1.5902,0.9202,1.0159,2.8814,1.0,0.4285,0.6154,0.6057,1.0,0.837,0.768,1.94,0.9293,1.0,0.7863,4.2546
bs035,N,bs035_N_N_1.lm3,0.6582,1.626,1.153,1.949,1.1463,1.1029,1.7176,0.9844,1.0696,3.0109,1.0,0.3925,0.493,0.6854,1.0,0.5804,0.7185,2.0961,1.3095,1.0,0.9506,3.8698
bs036,N,bs036_N_N_0.lm3,0.4316,1.3996,1.017,1.7421,0.9271,1.2868,1.5581,0.9198,0.9592,2.7509,1.0,0.7753,0.52,0.6462,1.0,0.4494,0.7641,4.4242,5.1673,1.0,6.1674,4.155
bs036,N,bs036_N_N_1.lm3,0.5227,1.39,0.9453,1.7563,1.0063,1.3066,1.6505,0.9202,0.933,2.8,1.0,0.4943,0.5259,0.7838,1.0,0.5275,0.6509,3.571,2.1419,1.0,1.0671,3.9824
bs037,N,bs037_N_N_0.lm3,0.7006,1.7272,1.1355,1.6846,1.0091,1.1412,1.5077,1.0651,1.034,3.0414,1.0,0.4257,0.4785,0.5071,1.0,0.4499,0.6982,2.1864,0.8132,1.0,3.2474,3.5594
bs037,N,bs037_N_N_1.lm3,0.6715,1.7383,1.1445,1.6207,0.9847,1.0567,1.5303,1.1081,1.1722,3.1368,1.0,0.6259,0.3809,0.5469,1.0,0.4547,0.4967,2.1187,2.2204,1.0,2.0537,3.5051
bs037,N,bs037_N_N_2.lm3,0.7287,1.7717,1.1445,1.7411,1.0847,1.2091,1.5983,1.1717,1.1277,3.2043,1.0,0.5765,0.5954,0.6116,1.0,0.5758,0.6573,2.8773,1.3364,1.0,0.3538,4.0166
bs038,N,bs038_N_N_0.lm3,0.983,1.8635,0.9911,1.8577,1.2488,0.9736,1.4708,1.1171,1.142,3.2216,1.0,0.2876,0.4546,0.481,1.0,0.5157,0.5177,2.0612,1.3764,1.0,1.5166,3.2566
bs038,N,bs038_N_N_1.lm3,0.9724,1.9742,1.1127,2.0474,1.3354,1.0388,1.6137,1.2397,1.1895,3.391,1.0,0.3808,0.4607,0.5339,1.0,0.5727,0.5333,2.101,1.9149,1.0,1.7593,3.4814
bs039,N,bs039_N_N_0.lm3,0.611,1.6788,1.1844,1.9109,1.2516,1.1928,1.6297,1.0029,1.04,3.0033,1.0,0.3217,0.4688,0.5521,1.0,0.5745,0.6422,2.4301,0.4216,1.0,1.0807,3.5593
bs040,N,bs040_N_N_0.lm3,0.6759,1.6625,1.1352,1.7187,0.9305,1.0702,1.3991,0.9056,0.9593,2.8222,1.0,0.3188,0.4295,0.3807,1.0,0.4226,0.6494,1.3477,0.6824,1.0,1.702,3.201
bs040,N,bs040_N_N_1.lm3,0.7899,1.6758,1.0026,1.6562,1.0022,1.0163,1.4786,0.9494,1.0659,2.9617,1.0,0.3418,0.3234,0.4154,1.0,0.3826,0.4293,1.0289,0.6115,1.0,0.7808,2.8925
bs041,N,bs041_N_N_0.lm3,0.5671,1.7578,1.3108,2.1401,1.2062,1.0849,1.6761,1.1376,1.1208,3.211,1.0,0.4702,0.3572,0.5934,1.0,0.5573,0.5909,2.1319,2.7486,1.0,0.231,3.569
bs041,N,bs041_N_N_1.lm3,0.7273,1.76,1.1392,1.888,1.0583,1.1184,1.6718,1.0074,1.109,3.0284,1.0,0.4636,0.477,0.6253,1.0,0.4923,0.7258,2.8365,3.0294,1.0,3.0269,3.784
bs042,N,bs042_N_N_0.lm3,0.9473,2.1992,1.3975,2.1459,1.1889,1.3765,1.8438,1.0911,1.2783,3.2973,1.0,0.4131,0.6512,0.5828,1.0,0.5871,0.904,2.4148,1.4369,1.0,2.9983,4.1382
bs042,N,bs042_N_N_1.lm3,0.9428,2.0191,1.1954,1.9065,1.1026,1.2691,1.6043,1.005,1.0621,3.0155,1.0,0.353,0.6269,0.5329,1.0,0.5431,0.7581,2.4111,1.0214,1.0,2.6093,3.814
bs043,N,bs043_N_N_0.lm3,0.7295,1.6179,1.0183,1.8034,1.088,1.0807,1.5958,1.15,1.1193,3.1944,1.0,0.582,0.5042,0.4839,1.0,0.4997,0.6304,2.4401,1.6306,1.0,1.8954,3.7002
bs043,N,bs043_N_N_1.lm3,0.7602,1.5583,0.8624,1.6998,1.1019,1.0186,1.5515,1.0772,0.9847,3.0218,1.0,0.4438,0.3803,0.5649,1.0,0.4238,0.4077,2.2646,1.0639,1.0,1.3109,3.2205
bs044,N,bs044_N_N_0.lm3,0.6586,1.832,1.2654,2.0873,1.1623,1.3421,1.7753,1.144,1.2505,3.2896,1.0,0.588,0.5673,0.5664,1.0,0.6429,0.6826,3.0279,1.7062,1.0,0.9941,4.0472
bs044,N,bs044_N_N_1.lm3,0.7148,1.8593,1.2233,2.0529,1.1333,1.2915,1.8257,1.1846,1.2307,3.3362,1.0,0.4795,0.506,0.6114,1.0,0.5657,0.6507,3.0234,1.1631,1.0,0.5672,3.8133
bs045,N,bs045_N_N_0.lm3,0.5133,1.506,1.0791,1.6261,0.851,1.0724,1.5935,0.8715,0.9332,2.6822,1.0,0.6033,0.4789,0.7275,1.0,0.4608,0.7275,2.8667,1.9889,1.0,3.5473,3.998
bs045,N,bs045_N_N_1.lm3,0.5421,1.5235,1.0248,1.6583,0.9631,1.0453,1.5701,0.9213,0.9708,2.7984,1.0,0.5594,0.4098,0.6371,1.0,0.4318,0.6097,3.4643,2.0978,1.0,3.0428,3.6478
bs046,N,bs046_N_N_0.lm3,0.5229,1.5643,1.0965,1.8452,1.0556,1.209,1.7803,1.0191,1.0818,3.0028,1.0,0.6001,0.6775,0.8192,1.0,0.6459,0.7967,5.6463,2.2838,1.0,2.1541,4.5394
bs046,N,bs046_N_N_1.lm3,0.5606,1.6103,1.1488,1.9057,1.0406,1.2092,1.8681,1.0625,1.0154,3.0109,1.0,0.5521,0.622,0.7923,1.0,0.6549,0.7831,3.5918,1.5278,1.0,2.2197,4.4044
bs047,N,bs047_N_N_0.lm3,0.5242,1.6037,1.1446,1.7767,0.854,1.0978,1.4511,0.9539,0.9766,2.878,1.0,0.3836,0.5193,0.544,1.0,0.5443,0.6078,3.0675,2.6955,1.0,1.8538,3.599
bs047,N,bs047_N_N_1.lm3,0.53,1.6743,1.1899,1.8288,0.8901,1.0176,1.525,1.0172,1.0266,2.9846,1.0,0.4291,0.3176,0.5393,1.0,0.4191,0.5153,2.2537,3.4305,1.0,0.674,3.2204
bs047,N,bs047_N_N_2.lm3,0.6766,1.6696,1.1093,1.796,0.8486,1.039,1.5097,1.0405,1.0083,2.9949,1.0,0.4838,0.3157,0.4885,1.0,0.4207,0.4655,1.1182,2.0699,1.0,0.1533,3.1742
bs047,N,bs047_N_N_3.lm3,0.6812,1.6624,1.0556,1.798,0.9527,1.0401,1.567,1.0157,0.9831,2.9635,1.0,0.3561,0.3325,0.5552,1.0,0.4046,0.4926,1.8031,1.6788,1.0,0.5789,3.141
bs048,N,bs048_N_N_0.lm3,0.7437,1.7419,1.1159,1.835,1.0509,1.088,1.5923,0.9807,1.0513,2.9718,1.0,0.3461,0.3887,0.614,1.0,0.503,0.5358,1.895,0.7256,1.0,1.0735,3.3876
bs048,N,bs048_N_N_1.lm3,0.701,1.765,1.1581,1.7825,0.9692,1.1641,1.6631,1.0387,1.0554,3.02,1.0,0.4892,0.4607,0.6316,1.0,0.4706,0.6156,2.0905,1.2429,1.0,1.1416,3.6677
bs048,N,bs048_N_N_2.lm3,0.632,1.722,1.1508,1.8848,1.1229,1.1456,1.6459,1.0748,1.0623,3.0428,1.0,0.5201,0.4361,0.6596,1.0,0.4575,0.6398,2.7166,1.9151,1.0,2.3922,3.7131
bs048,N,bs048_N_N_3.lm3,0.7622,1.7478,1.0599,1.7558,0.9995,1.0916,1.5109,1.0278,0.9432,2.9251,1.0,0.3869,0.4408,0.5711,1.0,0.4433,0.5575,2.2127,1.201,1.0,1.4877,3.3996
bs049,N,bs049_N_N_0.lm3,0.3839,1.1065,0.7953,1.2825,0.7605,0.9721,1.0868,0.708,0.6802,2.3069,1.0,0.4974,0.4774,0.5084,1.0,0.5275,0.482,15.0497,5.2278,1.0,22.8831,3.4927
bs049,N,bs049_N_N_1.lm3,0.4571,1.1216,0.7343,1.3099,0.8377,0.9578,1.1882,0.8347,0.7513,2.4608,1.0,0.7529,0.4866,0.5431,1.0,0.4215,0.5501,53.7194,50.635,1.0,55.2839,3.7542
bs049,N,bs049_N_N_2.lm3,0.4879,1.0982,0.6811,1.2647,0.8017,0.8933,1.0672,0.7144,0.6938,2.34,1.0,0.516,0.426,0.494,1.0,0.4425,0.415,5.6539,1.5057,1.0,4.4379,3.2935
bs049,N,bs049_N_N_3.lm3,0.4773,1.1313,0.7334,1.3347,0.8053,0.9026,1.1,0.7222,0.7107,2.3649,1.0,0.3911,0.4484,0.5431,1.0,0.4533,0.503,8.0329,1.4895,1.0,1.8933,3.3389
bs050,N,bs050_N_N_0.lm3,0.7674,1.7333,1.1017,1.5891,0.8757,1.0717,1.4417,0.8604,0.8643,2.658,1.0,0.3487,0.4548,0.4867,1.0,0.6067,0.4698,1.6187,1.1766,1.0,2.0237,3.3667
bs050,N,bs050_N_N_1.lm3,0.7083,1.7586,1.188,1.701,0.9271,1.0734,1.4985,0.8792,0.941,2.7463,1.0,0.407,0.5652,0.4967,1.0,0.5812,0.6924,1.9282,1.0697,1.0,0.462,3.7425
bs050,N,bs050_N_N_2.lm3,0.7688,1.7072,1.0535,1.5667,0.8997,1.0719,1.5149,0.903,0.9336,2.746,1.0,0.473,0.5335,0.4972,1.0,0.4787,0.6465,1.9549,1.5851,1.0,1.1681,3.6289
bs050,N,bs050_N_N_3.lm3,0.7677,1.7618,1.1078,1.6427,0.9191,1.044,1.4654,0.9093,0.9274,2.75,1.0,0.4334,0.5138,0.4877,1.0,0.5036,0.6378,1.9053,1.7631,1.0,1.2814,3.5763
bs051,N,bs051_N_N_0.lm3,1.0243,2.2357,1.3366,2.0495,1.1525,1.2692,1.9328,1.2002,1.2054,3.3886,1.0,0.222,0.6628,0.6837,1.0,0.6568,0.7545,2.6956,0.9565,1.0,0.4398,3.9798
bs051,N,bs051_N_N_1.lm3,0.9595,2.1407,1.3156,2.0097,1.1155,1.1849,1.9111,1.1238,1.116,3.232,1.0,0.1315,0.5208,0.7094,1.0,0.5622,0.6415,1.9146,0.1921,1.0,0.1039,3.5654
bs051,N,bs051_N_N_2.lm3,1.0018,2.1952,1.2944,2.0039,1.1309,1.1583,1.9006,1.1851,1.2136,3.376,1.0,0.2366,0.4193,0.6585,1.0,0.4477,0.581,1.731,1.0803,1.0,0.3392,3.3431
bs051,N,bs051_N_N_3.lm3,1.0394,2.2603,1.3488,2.0935,1.1704,1.2202,1.921,1.1783,1.2552,3.4073,1.0,0.184,0.4728,0.6298,1.0,0.5108,0.6481,1.9147,0.7267,1.0,0.2418,3.4455
bs052,N,bs052_N_N_0.lm3,0.4905,1.5178,1.2548,1.843,0.9569,0.8806,1.1877,0.877,0.943,2.7596,1.0,0.4108,0.3318,0.3908,1.0,0.581,0.5654,1.304,1.0642,1.0,0.5686,3.2798
bs052,N,bs052_N_N_1.lm3,0.4534,1.413,1.2434,1.755,0.8319,0.7744,1.1161,0.7896,0.7868,2.5457,1.0,0.2963,0.2728,0.4239,1.0,0.5465,0.5257,0.9623,0.752,1.0,0.6241,3.0652
bs052,N,bs052_N_N_2.lm3,0.4379,1.4034,1.2684,1.8385,0.9233,0.8086,1.1988,0.8353,0.8271,2.6196,1.0,0.3797,0.2944,0.4547,1.0,0.5508,0.5761,1.0002,0.6419,1.0,0.3324,3.2557
bs052,N,bs052_N_N_3.lm3,0.4558,1.4576,1.3831,1.9241,0.8679,0.8412,1.1162,0.8864,0.8499,2.6914,1.0,0.3874,0.287,0.4229,1.0,0.6254,0.5586,0.8356,0.5939,1.0,0.907,3.2813
bs053,N,bs053_N_N_0.lm3,0.5428,1.9703,1.7634,2.289,1.1082,1.0294,1.7007,1.0207,1.0304,2.997,1.0,0.3038,0.3508,0.6542,1.0,0.6544,0.7351,1.1661,0.7084,1.0,0.6636,3.6983
bs053,N,bs053_N_N_1.lm3,0.5967,1.8364,1.4805,2.042,1.0975,0.9435,1.5479,0.9035,0.8808,2.7754,1.0,0.1319,0.3291,0.5801,1.0,0.6038,0.6186,1.2309,0.3991,1.0,0.1351,3.2635
bs053,N,bs053_N_N_2.lm3,0.4249,1.8871,1.6583,2.1609,1.1255,0.9807,1.6003,0.9693,0.9538,2.9003,1.0,0.2599,0.3144,0.4993,1.0,0.6293,0.608,1.5308,0.7401,1.0,0.7038,3.3109
bs053,N,bs053_N_N_3.lm3,0.663,1.8789,1.4417,2.1081,1.2159,0.9964,1.5671,0.9672,0.9378,2.8843,1.0,0.1767,0.3589,0.5283,1.0,0.6188,0.6104,1.2647,0.172,1.0,0.4293,3.2931
bs054,N,bs054_N_N_0.lm3,0.8403,2.3458,1.5874,2.097,1.1367,1.2765,1.9457,1.2473,1.2706,3.4723,1.0,0.3748,0.509,0.5673,1.0,0.4883,0.7636,2.1179,1.9409,1.0,2.5917,3.703
bs054,N,bs054_N_N_1.lm3,0.9982,2.2932,1.4255,2.0044,1.1072,1.3276,1.8608,1.2576,1.214,3.4157,1.0,0.4217,0.5791,0.4997,1.0,0.4974,0.7983,1.8765,1.1091,1.0,2.5315,3.7962
bs054,N,bs054_N_N_2.lm3,1.0347,2.26,1.3012,1.9585,1.2319,1.2129,1.7993,1.2278,1.164,3.3678,1.0,0.2911,0.4177,0.458,1.0,0.4802,0.5021,1.8759,1.3051,1.0,0.6072,3.1491
bs054,N,bs054_N_N_3.lm3,0.94,2.1407,1.2891,1.8775,1.105,1.2673,1.7247,1.1815,1.1294,3.287,1.0,0.276,0.4693,0.5151,1.0,0.4062,0.6878,1.9127,0.9076,1.0,2.9963,3.3544
bs055,N,bs055_N_N_0.lm3,0.7778,1.5191,0.8673,1.3853,0.7506,0.998,1.2695,0.7054,0.7213,2.3972,1.0,0.2249,0.4882,0.3951,1.0,0.3772,0.5618,1.3358,0.5677,1.0,1.4181,3.0472
bs055,N,bs055_N_N_1.lm3,0.7732,1.5091,0.8702,1.3683,0.7299,0.9581,1.317,0.7562,0.7277,2.455,1.0,0.276,0.3603,0.4003,1.0,0.3787,0.4117,0.9665,0.3992,1.0,0.2238,2.827
bs055,N,bs055_N_N_2.lm3,0.7209,1.4852,0.8668,1.3931,0.7522,1.0172,1.3071,0.7177,0.8377,2.4684,1.0,0.3968,0.4613,0.4039,1.0,0.3596,0.5525,1.4147,0.8971,1.0,1.3273,3.1741
bs055,N,bs055_N_N_3.lm3,0.7462,1.5986,0.9823,1.4704,0.7148,1.0092,1.2859,0.8201,0.8266,2.5958,1.0,0.3182,0.4527,0.3855,1.0,0.4544,0.535,1.3837,0.8399,1.0,0.2648,3.1458
bs056,N,bs056_N_N_0.lm3,0.587,1.4834,1.0444,1.3999,0.6401,1.0891,1.6339,1.1159,1.0847,3.0458,1.0,0.8654,0.4137,0.8106,1.0,0.5161,0.5051,1.2559,2.4749,1.0,0.6388,4.1109
bs056,N,bs056_N_N_1.lm3,0.496,1.4702,1.095,1.4698,0.6668,1.1553,1.6376,1.1211,1.0464,3.0006,1.0,0.923,0.6455,0.7245,1.0,0.5992,0.7353,2.5074,3.6535,1.0,0.8358,4.6275
bs056,N,bs056_N_N_2.lm3,0.5108,1.4013,1.0714,1.4565,0.683,1.122,1.6065,1.0166,0.9201,2.8442,1.0,0.6773,0.5601,0.7496,1.0,0.5206,0.7328,1.7815,1.7618,1.0,1.9717,4.2404
