identity,expression,filename,dist_enL_seL,dist_enL_prn,dist_seL_prn,dist_seL_ls,dist_prn_ls,dist_alL_alR,dist_chL_chR,dist_enL_exL,dist_enR_exR,dist_exL_exR,dist_enL_enR,dist_gn_prn,dist_gn_sto,dist_seL_seR,dist_ls_sto,area_enL_exL_exR,area_prn_alL_alR,area_chL_chR_ls,area_enL_enR_prn,area_ls_sto_sl,area_seL_prn_alL,area_seR_prn_alR,volume_enL_prn_alL_alR,volume_enL_exL_exR_prn,volume_chL_chR_ls_sto,volume_enL_enR_seL_prn,volume_exL_exR_alL_alR,facial_area
bs034,N,bs034_N_N_1.lm3,0.3310,1.4452,1.2349,1.7301,0.9190,0.9868,1.4495,0.9569,0.8754,2.7896,1.0000,2.4289,1.2097,0.5303,0.3515,0.2988,0.3135,0.4202,0.6879,0.0477,0.4433,0.4064,0.1190,0.0946,0.0159,0.0356,0.0224,6.3731
bs035,N,bs035_N_N_0.lm3,0.6200,1.6314,1.2817,1.9857,1.0445,1.1307,1.5902,0.9202,1.0159,2.8814,1.0000,2.8809,1.6016,0.3479,0.2566,0.3344,0.4803,0.4727,0.7804,0.0311,0.6532,0.5623,0.1917,0.0918,0.0176,0.0988,0.0777,8.0019
bs035,N,bs035_N_N_1.lm3,0.6582,1.6260,1.1530,1.9490,1.1463,1.1029,1.7176,0.9844,1.0696,3.0109,1.0000,2.9711,1.5618,0.4188,0.2925,0.3010,0.3780,0.5255,0.7668,0.0377,0.4451,0.5457,0.1680,0.1050,0.0244,0.0802,0.0762,8.1944
bs036,N,bs036_N_N_0.lm3,0.4316,1.3996,1.0170,1.7421,0.9271,1.2868,1.5581,0.9198,0.9592,2.7509,1.0000,2.4510,1.3084,0.5072,0.2345,0.5300,0.3555,0.4417,0.6836,0.0283,0.3072,0.4715,0.1291,0.1508,0.0315,0.0292,0.1800,7.1780
bs036,N,bs036_N_N_1.lm3,0.5227,1.3900,0.9453,1.7563,1.0063,1.3066,1.6505,0.9202,0.9330,2.8000,1.0000,2.5558,1.1881,0.3798,0.3842,0.3302,0.3513,0.5235,0.6680,0.0148,0.3523,0.4190,0.1401,0.0840,0.0534,0.0392,0.0419,7.3337
bs037,N,bs037_N_N_0.lm3,0.7006,1.7272,1.1355,1.6846,1.0091,1.1412,1.5077,1.0651,1.0340,3.0414,1.0000,2.3010,1.1059,0.3659,0.2961,0.3575,0.4018,0.4257,0.8396,0.0284,0.3777,0.5365,0.1571,0.0584,0.0156,0.0719,0.2334,7.3308
bs037,N,bs037_N_N_1.lm3,0.6715,1.7383,1.1445,1.6207,0.9847,1.0567,1.5303,1.1081,1.1722,3.1368,1.0000,2.1722,1.0039,0.4544,0.2908,0.5121,0.3117,0.4474,0.8181,0.0161,0.3720,0.3391,0.1070,0.1121,0.0169,0.0505,0.1037,7.3826
bs037,N,bs037_N_N_2.lm3,0.7287,1.7717,1.1445,1.7411,1.0847,1.2091,1.5983,1.1717,1.1277,3.2043,1.0000,2.4369,1.1937,0.3801,0.2992,0.4946,0.5108,0.5247,0.8579,0.0349,0.4940,0.4982,0.2012,0.0934,0.0200,0.0699,0.0247,8.1180
bs038,N,bs038_N_N_0.lm3,0.9830,1.8635,0.9911,1.8577,1.2488,0.9736,1.4708,1.1171,1.1420,3.2216,1.0000,3.3426,1.6190,0.3645,0.4919,0.2613,0.4130,0.4369,0.9085,0.0825,0.4685,0.4435,0.2012,0.1344,0.0288,0.0976,0.1481,8.7003
bs038,N,bs038_N_N_1.lm3,0.9724,1.9742,1.1127,2.0474,1.3354,1.0388,1.6137,1.2397,1.1895,3.3910,1.0000,3.3607,1.6125,0.3312,0.4220,0.3675,0.4446,0.5153,0.9651,0.0391,0.5528,0.4775,0.2261,0.2061,0.0435,0.1076,0.1893,9.9097
bs039,N,bs039_N_N_0.lm3,0.6110,1.6788,1.1844,1.9109,1.2516,1.1928,1.6297,1.0029,1.0400,3.0033,1.0000,2.5791,1.1564,0.4179,0.2866,0.2644,0.3854,0.4539,0.8220,0.0155,0.4722,0.4867,0.1721,0.0299,0.0157,0.0708,0.0765,7.4240
bs040,N,bs040_N_N_0.lm3,0.6759,1.6625,1.1352,1.7187,0.9305,1.0702,1.3991,0.9056,0.9593,2.8222,1.0000,2.1672,1.1789,0.4187,0.1757,0.2581,0.3477,0.3081,0.8095,0.0105,0.3421,0.4641,0.1126,0.0570,0.0059,0.0835,0.1421,6.3032
bs040,N,bs040_N_N_1.lm3,0.7899,1.6758,1.0026,1.6562,1.0022,1.0163,1.4786,0.9494,1.0659,2.9617,1.0000,2.3306,1.2378,0.4378,0.1873,0.2750,0.2602,0.3342,0.8045,0.0073,0.3078,0.2957,0.0844,0.0501,0.0097,0.0820,0.0640,6.8411
bs041,N,bs041_N_N_0.lm3,0.5671,1.7578,1.3108,2.1401,1.2062,1.0849,1.6761,1.1376,1.1208,3.2110,1.0000,2.6624,1.2996,0.4076,0.2062,0.4000,0.3039,0.5049,0.8507,0.0112,0.4741,0.4821,0.1432,0.1846,0.0142,0.0672,0.0155,9.2734
bs041,N,bs041_N_N_1.lm3,0.7273,1.7600,1.1392,1.8880,1.0583,1.1184,1.6718,1.0074,1.1090,3.0284,1.0000,2.4398,1.2135,0.3425,0.1790,0.3816,0.3926,0.5147,0.8232,0.0038,0.4053,0.5821,0.1860,0.1987,0.0238,0.0656,0.1985,8.1423
bs042,N,bs042_N_N_0.lm3,0.9473,2.1992,1.3975,2.1459,1.1889,1.3765,1.8438,1.0911,1.2783,3.2973,1.0000,3.2379,1.6735,0.4986,0.3974,0.4342,0.6845,0.6126,1.0511,0.0349,0.6171,0.8623,0.3230,0.1922,0.0398,0.1338,0.4011,10.5004
bs042,N,bs042_N_N_1.lm3,0.9428,2.0191,1.1954,1.9065,1.1026,1.2691,1.6043,1.0050,1.0621,3.0155,1.0000,2.7967,1.3590,0.4693,0.3728,0.3430,0.6092,0.5178,0.9717,0.0399,0.5277,0.6769,0.2693,0.1141,0.0264,0.1117,0.2914,8.4516
bs043,N,bs043_N_N_0.lm3,0.7295,1.6179,1.0183,1.8034,1.0880,1.0807,1.5958,1.1500,1.1193,3.1944,1.0000,2.6298,1.2999,0.2895,0.2811,0.4599,0.3985,0.3824,0.7903,0.0093,0.3949,0.4780,0.1636,0.1094,0.0303,0.0671,0.1271,8.8485
bs043,N,bs043_N_N_1.lm3,0.7602,1.5583,0.8624,1.6998,1.1019,1.0186,1.5515,1.0772,0.9847,3.0218,1.0000,2.5845,1.2167,0.4770,0.2950,0.3373,0.2890,0.4293,0.7599,0.0129,0.3220,0.3157,0.1191,0.0559,0.0316,0.0526,0.0689,8.4326
bs044,N,bs044_N_N_0.lm3,0.6586,1.8320,1.2654,2.0873,1.1623,1.3421,1.7753,1.1440,1.2505,3.2896,1.0000,2.5909,1.2609,0.4487,0.1843,0.5200,0.5017,0.5009,0.8844,0.0112,0.5686,0.5493,0.2205,0.1242,0.0215,0.0728,0.0724,9.4484
bs044,N,bs044_N_N_1.lm3,0.7148,1.8593,1.2233,2.0529,1.1333,1.2915,1.8257,1.1846,1.2307,3.3362,1.0000,2.5694,1.2245,0.4475,0.2305,0.4336,0.4576,0.5529,0.9043,0.0138,0.5115,0.5435,0.2145,0.0825,0.0264,0.0709,0.0402,9.8497
bs045,N,bs045_N_N_0.lm3,0.5133,1.5060,1.0791,1.6261,0.8510,1.0724,1.5935,0.8715,0.9332,2.6822,1.0000,2.2165,1.0717,0.4268,0.3039,0.4326,0.3434,0.5217,0.7171,0.0177,0.3304,0.4543,0.1252,0.0869,0.0343,0.0437,0.1550,6.4742
bs045,N,bs045_N_N_1.lm3,0.5421,1.5235,1.0248,1.6583,0.9631,1.0453,1.5701,0.9213,0.9708,2.7984,1.0000,2.4547,1.1616,0.4453,0.3486,0.4025,0.2949,0.4584,0.7196,0.0386,0.3107,0.4005,0.1181,0.0715,0.0271,0.0341,0.1037,6.9906
bs046,N,bs046_N_N_0.lm3,0.5229,1.5643,1.0965,1.8452,1.0556,1.2090,1.7803,1.0191,1.0818,3.0028,1.0000,2.5026,1.1165,0.4991,0.3610,0.4363,0.4925,0.5955,0.7270,0.0341,0.4695,0.5281,0.2077,0.0840,0.0330,0.0368,0.0792,8.3917
bs046,N,bs046_N_N_1.lm3,0.5606,1.6103,1.1488,1.9057,1.0406,1.2092,1.8681,1.0625,1.0154,3.0109,1.0000,2.3968,0.9995,0.3896,0.3821,0.4195,0.4726,0.6020,0.7598,0.0282,0.4976,0.5392,0.2075,0.0883,0.0389,0.0578,0.1282,8.4843
bs047,N,bs047_N_N_0.lm3,0.5242,1.6037,1.1446,1.7767,0.8540,1.0978,1.4511,0.9539,0.9766,2.8780,1.0000,2.5912,1.4788,0.4559,0.2750,0.2959,0.4006,0.4197,0.7714,0.0247,0.4199,0.3915,0.1338,0.1176,0.0185,0.0436,0.0809,6.9812
bs047,N,bs047_N_N_1.lm3,0.5300,1.6743,1.1899,1.8288,0.8901,1.0176,1.5250,1.0172,1.0266,2.9846,1.0000,2.3776,1.2699,0.4750,0.2486,0.3463,0.2563,0.4352,0.8070,0.0267,0.3382,0.3438,0.0941,0.1433,0.0155,0.0418,0.0282,7.4298
bs047,N,bs047_N_N_2.lm3,0.6766,1.6696,1.1093,1.7960,0.8486,1.0390,1.5097,1.0405,1.0083,2.9949,1.0000,2.4087,1.3287,0.3300,0.2419,0.3884,0.2534,0.3922,0.8029,0.0174,0.3378,0.3278,0.0828,0.1532,0.0181,0.0740,0.0114,7.2751
bs047,N,bs047_N_N_3.lm3,0.6812,1.6624,1.0556,1.7980,0.9527,1.0401,1.5670,1.0157,0.9831,2.9635,1.0000,2.6084,1.4442,0.3951,0.2574,0.2834,0.2646,0.4418,0.7958,0.0302,0.3220,0.3421,0.1036,0.0965,0.0122,0.0575,0.0333,7.4664
bs048,N,bs048_N_N_0.lm3,0.7437,1.7419,1.1159,1.8350,1.0509,1.0880,1.5923,0.9807,1.0513,2.9718,1.0000,2.7553,1.3933,0.3579,0.3282,0.2870,0.3223,0.5091,0.8293,0.0380,0.4171,0.4317,0.1452,0.0556,0.0311,0.0766,0.0823,8.0532
bs048,N,bs048_N_N_1.lm3,0.7010,1.7650,1.1581,1.7825,0.9692,1.1641,1.6631,1.0387,1.0554,3.0200,1.0000,2.5775,1.2696,0.4430,0.3785,0.4204,0.3960,0.5429,0.8594,0.0530,0.4045,0.4519,0.1500,0.0892,0.0374,0.0718,0.0819,8.1895
bs048,N,bs048_N_N_2.lm3,0.6320,1.7220,1.1508,1.8848,1.1229,1.1456,1.6459,1.0748,1.0623,3.0428,1.0000,2.7701,1.3733,0.4206,0.2829,0.4300,0.3605,0.5453,0.8268,0.0098,0.3782,0.4524,0.1489,0.1050,0.0387,0.0548,0.1311,8.4953
bs048,N,bs048_N_N_3.lm3,0.7622,1.7478,1.0599,1.7558,0.9995,1.0916,1.5109,1.0278,0.9432,2.9251,1.0000,2.5448,1.2512,0.3792,0.3510,0.3267,0.3723,0.4823,0.8445,0.0590,0.3744,0.4257,0.1485,0.0806,0.0183,0.0671,0.0998,7.6956
bs049,N,bs049_N_N_0.lm3,0.3839,1.1065,0.7953,1.2825,0.7605,0.9721,1.0868,0.7080,0.6802,2.3069,1.0000,1.9924,0.9281,0.3284,0.3054,0.2461,0.2361,0.2515,0.4947,0.0193,0.2609,0.2037,0.0656,0.0228,0.0132,0.0044,0.0998,4.6368
bs049,N,bs049_N_N_1.lm3,0.4571,1.1216,0.7343,1.3099,0.8377,0.9578,1.1882,0.8347,0.7513,2.4608,1.0000,2.0728,0.9469,0.2794,0.2924,0.3747,0.2422,0.2703,0.4977,0.0188,0.2098,0.2448,0.0712,0.0671,0.0154,0.0013,0.0733,5.1182
bs049,N,bs049_N_N_2.lm3,0.4879,1.0982,0.6811,1.2647,0.8017,0.8933,1.0672,0.7144,0.6938,2.3400,1.0000,2.0488,0.9644,0.2804,0.2859,0.2484,0.2051,0.2378,0.4814,0.0103,0.2130,0.1878,0.0562,0.0150,0.0115,0.0099,0.0441,4.6074
bs049,N,bs049_N_N_3.lm3,0.4773,1.1313,0.7334,1.3347,0.8053,0.9026,1.1000,0.7222,0.7107,2.3649,1.0000,2.0272,0.9452,0.2681,0.2947,0.1909,0.2188,0.2650,0.4880,0.0234,0.2212,0.2087,0.0658,0.0122,0.0104,0.0082,0.0155,4.7322
bs050,N,bs050_N_N_0.lm3,0.7674,1.7333,1.1017,1.5891,0.8757,1.0717,1.4417,0.8604,0.8643,2.6580,1.0000,2.1343,1.0693,0.3494,0.3130,0.2878,0.3754,0.4017,0.8254,0.0252,0.5007,0.3583,0.1382,0.1004,0.0271,0.0854,0.1727,6.0904
bs050,N,bs050_N_N_1.lm3,0.7083,1.7586,1.1880,1.7010,0.9271,1.0734,1.4985,0.8792,0.9410,2.7463,1.0000,2.2238,1.1415,0.3980,0.3028,0.3442,0.4781,0.4201,0.8458,0.0342,0.4916,0.5301,0.1707,0.0947,0.0243,0.0885,0.0409,6.4597
bs050,N,bs050_N_N_2.lm3,0.7688,1.7072,1.0535,1.5667,0.8997,1.0719,1.5149,0.9030,0.9336,2.7460,1.0000,2.3079,1.2193,0.3986,0.3285,0.3909,0.4409,0.4109,0.8264,0.0413,0.3956,0.4746,0.1568,0.1271,0.0224,0.0802,0.0937,6.6169
