identity,expression,filename,exL_x,exL_y,exL_z,mebL_x,mebL_y,mebL_z,enL_x,enL_y,enL_z,enR_x,enR_y,enR_z,mebR_x,mebR_y,mebR_z,exR_x,exR_y,exR_z,seL_x,seL_y,seL_z,seR_x,seR_y,seR_z,alL_x,alL_y,alL_z,prn_x,prn_y,prn_z,alR_x,alR_y,alR_z,chL_x,chL_y,chL_z,ls_x,ls_y,ls_z,chR_x,chR_y,chR_z,li_x,li_y,li_z,sto_x,sto_y,sto_z,sl_x,sl_y,sl_z,gn_x,gn_y,gn_z
bs008,N,bs008_N_N_0.lm3,-77.562,-0.17,-40.72,-65.988,20.76,-24.161,-44.421,0.581,-32.975,-10.968,3.916,-33.678,7.477,25.582,-24.049,18.799,4.636,-40.937,-35.476,-5.463,-16.764,-20.803,-5.294,-11.053,-44.666,-39.567,-18.103,-24.734,-30.188,9.857,-6.967,-39.576,-23.812,-51.064,-74.763,-23.462,-25.018,-63.819,-6.545,1.729,-71.485,-24.663,-25.766,-70.791,-8.811,-24.945,-73.885,-10.266,-24.967,-78.414,-8.979,-23.344,-114.535,-17.594
bs009,N,bs009_N_N_0.lm3,-86.903,-7.334,-123.518,-79.371,10.979,-105.958,-52.66,-7.017,-113.32,-18.331,-6.005,-111.335,6.31,14.601,-104.942,16.304,-1.933,-117.376,-40.413,-13.812,-87.979,-28.318,-13.63,-86.518,-52.647,-44.019,-95.452,-32.63,-43.164,-72.001,-13.565,-45.568,-93.233,-60.86,-76.335,-115.911,-33.268,-74.207,-96.172,-3.188,-75.158,-114.821,-33.227,-77.606,-98.745,-33.29,-79.447,-102.809,-33.077,-87.433,-100.274,-32.412,-123.847,-115.621
bs010,N,bs010_N_N_0.lm3,-74.203,46.27,-25.797,-74.509,66.05,-11.394,-43.614,45.604,-18.513,-16.64,47.873,-20.587,8.777,72.334,-10.369,14.254,52.114,-26.427,-37.64,41.262,7.724,-24.582,41.224,8.087,-42.668,10.794,7.222,-30.222,22.796,24.587,-12.399,13.003,6.223,-49.976,-22.182,-4.511,-25.921,-11.906,12.221,-0.113,-19.052,-4.496,-25.946,-17.265,8.65,-25.933,-19.592,6.27,-25.79,-27.157,8.887,-23.594,-59.491,1.96
bs010,N,bs010_N_N_1.lm3,-41.493,6.214,102.218,-38.347,21.113,118.177,-10.834,4.885,105.314,16.938,5.758,107.341,41.459,25.576,117.818,47.689,10.07,100.55,-2.545,-0.552,129.366,10.426,0.241,133.787,-10.901,-30.088,124.928,5.722,-23.529,149.133,24.646,-30.768,122.297,-15.135,-65.054,115.66,7.891,-56.225,132.591,34.224,-62.051,115.196,7.987,-61.392,127.904,8.698,-64.264,126.937,9.45,-69.159,129.155,9.414,-106.836,120.176
bs011,N,bs011_N_N_0.lm3,-73.055,11.481,-67.147,-62.19,28.336,-48.929,-41.191,5.379,-61.466,-10.243,5.203,-59.372,14.321,28.245,-50.855,20.854,6.096,-65.106,-31.948,-0.962,-44.349,-18.697,-1.705,-45.939,-44.517,-31.678,-42.804,-27.621,-24.109,-25.448,-11.542,-35.508,-43.146,-54.173,-61.291,-53.654,-28.654,-55.822,-39.293,-5.062,-63.674,-55.851,-28.787,-61.751,-46.568,-29.52,-64.144,-46.803,-30.155,-71.081,-44.111,-31.771,-97.819,-55.454
bs012,N,bs012_N_N_0.lm3,-58.851,27.559,43.282,-55.576,48.943,52.069,-29.777,24.673,46.138,0.621,22.552,42.057,28.645,43.584,36.447,28.198,21.824,27.697,-19.289,15.122,58.215,-7.447,15.027,51.424,-30.774,-14.166,58.507,-13.078,-8.127,74.644,2.236,-16.788,46.731,-41.404,-42.659,49.461,-14.484,-35.53,62.859,9.465,-42.906,39.799,-15.245,-42.188,59.675,-15.306,-45.955,55.8,-15.267,-54.792,57.74,-16.218,-82.907,34.14
bs012,N,bs012_N_N_1.lm3,-55.981,15.161,97.868,-52.777,38.011,107.26,-27.122,13.854,103.834,5.59,13.184,100.719,30.969,36.086,101.992,33.395,13.267,98.935,-16.314,5.396,116.301,-5.75,5.3,118.722,-27.395,-24.425,109.806,-10.199,-18.071,135.89,6.595,-22.739,118.173,-37.527,-50.936,105.897,-9.61,-44.263,123.593,18.048,-50.289,102.227,-9.543,-51.51,120.373,-8.835,-53.654,120.013,-8.796,-64.412,118.227,-6.802,-89.756,98.783
bs012,N,bs012_N_N_2.lm3,-61.853,0.233,52.536,-56.108,22.341,65.018,-33.555,-1.089,58.671,-1.339,-0.79,60.468,25.819,21.773,56.541,27.474,-0.959,47.916,-23.724,-10.421,72.047,-11.391,-10.357,72.669,-33.3,-37.524,66.324,-17.341,-31.715,90.433,-0.98,-40.256,72.921,-41.528,-67.457,57.394,-16.886,-59.561,78.708,11.385,-65.19,55.017,-16.177,-66.288,76.29,-15.524,-67.956,73.079,-16.261,-79.544,72.446,-14.331,-105.088,52.426
bs013,N,bs013_N_N_0.lm3,-75.374,13.306,57.373,-67.216,34.39,74.495,-43.225,11.139,68.651,-15.096,13.39,66.872,6.177,37.35,76.848,16.604,14.998,58.219,-34.672,2.421,85.996,-22.479,3.224,85.513,-42.771,-17.584,83.945,-28.077,-11.002,99.549,-13.083,-19.09,84.589,-50.125,-47.147,74.14,-28.759,-38.385,88.622,-4.39,-47.127,72.935,-28.877,-44.287,85.062,-28.169,-45.74,85.119,-28.154,-54.42,85.087,-26.819,-80.176,78.256
bs014,N,bs014_N_N_0.lm3,-54.148,40.05,163.357,-48.511,66.887,172.682,-21.412,41.48,166.408,5.844,41.475,168.651,30.787,71.295,172.48,38.542,43.148,161.362,-13.021,41.823,183.486,-1.478,41.935,180.369,-21.554,6.877,185.095,-5.646,12.148,202.945,8.739,8.93,175.498,-29.223,-20.367,171.673,-6.7,-12.58,184.989,14.931,-17.683,169.406,-7.375,-17.387,181.615,-6.706,-19.402,181.825,-6.757,-26.122,182.352,-5.41,-59.76,166.411
bs015,N,bs015_N_N_0.lm3,-59.368,37.088,181.455,-55.534,55.501,193.689,-30.125,34.981,187.78,-0.544,34.389,190.322,20.524,58.486,193.832,28.918,35.918,179.049,-19.89,25.478,206.903,-8.694,25.454,207.138,-26.393,-4.89,201.061,-12.656,4.08,219.578,2.892,-3.056,194.165,-30.581,-30.091,185.712,-12.413,-22.986,200.814,9.751,-29.387,185.493,-12.394,-28.41,197.049,-12.433,-31.178,193.527,-12.504,-39.866,193.329,-11.69,-68.718,180.672
bs016,N,bs016_N_N_0.lm3,-32.549,43.896,-52.658,-22.882,58.401,-39.664,-4.211,45.091,-46.52,29.841,46.142,-50.563,51.411,60.834,-42.509,59.09,47.138,-56.879,4.452,45.577,-26.447,16.756,46.508,-28.29,-10.721,13.66,-20.199,12.154,21.485,-1.642,32.652,13.044,-32.116,-17.165,-19.801,-27.794,11.616,-7.805,-13.154,39.866,-18.886,-29.317,11.668,-13.231,-15.306,11.676,-15.527,-14.9,10.922,-22.372,-11.898,11.929,-62.79,-16.273
bs017,N,bs017_N_N_0.lm3,-56.046,26.693,-25.473,-48.621,49.108,-11.198,-24.763,22.991,-20.833,9.784,22.286,-18.445,36.541,50.7,-8.729,42.541,26.953,-20.415,-13.099,22.679,-1.13,-1.514,22.828,0.948,-22.701,-19.225,0.879,-5.192,-21.977,19.407,11.641,-20.665,1.878,-30.034,-57.078,-23.542,-3.554,-50.58,-2.594,22.074,-55.291,-20.973,-3.712,-54.634,-6.364,-3.833,-57.922,-10.837,-2.954,-64.641,-8.928,-1.664,-101.643,-30.84
bs018,N,bs018_N_N_0.lm3,-39.817,36.38,57.79,-36.876,54.481,64.675,-9.85,35.656,60.029,21.071,37.852,56.774,39.874,58.352,63.976,50.232,40.413,44.176,2.114,30.363,76.506,11.48,30.358,76.358,-8.093,-0.104,75.824,8.603,7.382,93.227,21.598,1.412,77.52,-15.978,-28.659,68.972,8.193,-19.571,83.139,30.113,-27.078,68.928,8.109,-23.901,79.714,8.087,-26.089,78.686,8.168,-31.738,81.225,8.31,-70.945,55.447
bs019,N,bs019_N_N_0 (1).lm3,-76.654,12.75,-25.451,-75.385,33.502,-14.24,-46.819,12.736,-18.077,-9.73,11.312,-17.31,21.689,33.054,-17.945,19.304,13.175,-16.342,-35.009,13.565,-7.481,-20.38,13.533,-0.362,-46.281,-25.316,3.264,-26.59,-27.142,23.351,-5.599,-25.323,2.275,-52.77,-59.016,-14.69,-26.042,-51.971,5.879,2.678,-58.709,-12.32,-26.84,-57.472,2.647,-26.917,-59.182,-1.16,-26.923,-66.511,4.785,-24.523,-104.67,-7.2
bs019,N,bs019_N_N_0.lm3,-76.654,12.75,-25.451,-75.385,33.502,-14.24,-46.819,12.736,-18.077,-9.73,11.312,-17.31,21.689,33.054,-17.945,19.304,13.175,-16.342,-35.009,13.565,-7.481,-20.38,13.533,-0.362,-46.281,-25.316,3.264,-26.59,-27.142,23.351,-5.599,-25.323,2.275,-52.77,-59.016,-14.69,-26.042,-51.971,5.879,2.678,-58.709,-12.32,-26.84,-57.472,2.647,-26.917,-59.182,-1.16,-26.923,-66.511,4.785,-24.523,-104.67,-7.2
bs020,N,bs020_N_N_0.lm3,-35.964,10.509,99.037,-27.783,33.799,115.954,-2.238,9.096,108.92,31.835,9.972,108.565,52.049,37.521,117.261,62.591,12.29,100.639,5.583,6.293,114.524,20.504,7.177,120.384,-1.768,-26.779,119.038,16.967,-18.479,137.583,35.601,-26.238,110.02,-9.75,-54.9,106.935,15.569,-48.319,124.729,41.476,-55.365,108.672,15.037,-54.758,119.523,15.065,-57.027,117.353,15.808,-63.919,119.068,17.592,-92.66,103.912
bs021,N,bs021_N_N_0.lm3,-47.89,-1.773,-25.965,-42.909,16.871,-15.727,-16.821,-0.723,-19.749,15.677,0.24,-14.963,40.058,20.21,-7.146,48.29,0.794,-19.619,-9.755,-10.555,-6.268,8.701,-9.708,-3.23,-17.09,-41.183,-3.526,-1.015,-46.621,13.57,17.29,-40.945,0.398,-20.252,-79.286,-25.269,1.317,-73.24,-0.668,30.487,-74.131,-20.446,1.355,-76.381,-3.966,1.414,-78.789,-7.468,1.47,-86.501,-5.457,4.04,-122.89,-37.077
bs022,N,bs022_N_N_0.lm3,-82.323,61.333,-158.074,-76.318,83.578,-147.776,-48.658,61.206,-149.873,-15.719,61.902,-149.649,9.22,86.193,-143.703,16.95,63.983,-156.713,-38.832,62.547,-138.897,-25.461,62.544,-138.873,-48.217,25.791,-127.784,-31.432,34.087,-109.012,-15.952,25.084,-123.945,-58.563,-4.85,-138.392,-30.762,6.087,-119.964,-6.275,-4.011,-136.589,-32.414,-1.457,-126.15,-32.372,-3.779,-121.44,-32.493,-16.498,-129.599,-32.826,-53.597,-146.254
bs023,N,bs023_N_N_0.lm3,-62.162,23.592,-55.854,-57.75,45.974,-40.828,-29.369,23.457,-47.545,4.176,21.902,-46.419,37.128,40.721,-38.887,38.412,19.722,-54.061,-18.824,16.291,-25.726,-4.95,16.339,-26.182,-32.143,-9.464,-31.418,-13.36,-9.789,-7.309,4.42,-13.181,-32.723,-39.264,-50.125,-34.826,-14.842,-42.562,-18.504,10.048,-51.668,-34.901,-14.139,-46.644,-23.178,-13.387,-48.259,-24.99,-14.029,-53.668,-22.843,-16.001,-86.846,-22.066
bs024,N,bs024_N_N_0.lm3,-48.598,31.301,71.091,-42.004,49.401,79.146,-15.227,25.393,71.612,19.148,25.599,67.851,47.126,54.739,74.906,53.657,30.921,62.61,-2.576,27.677,87.556,13.1,29.139,78.266,-11.847,-18.586,87.243,6.232,-8.074,110.348,22.789,-18.536,87.397,-21.42,-49.47,73.377,5.588,-40.567,95.201,33.289,-49.29,73.973,5.474,-46.394,90.936,4.792,-49.418,87.255,4.833,-64.279,81.428,5.046,-94.34,67.094
bs025,N,bs025_N_N_0.lm3,-76.743,43.627,-73.024,-78.382,69.161,-68.724,-44.058,45.177,-67.635,-16.704,45.264,-63.793,11.876,70.083,-70.909,18.417,42.502,-78.399,-34.527,42.608,-45.1,-22.9,42.749,-51.847,-47.758,8.692,-45.568,-29.161,20.364,-22.133,-11.105,7.942,-49.341,-51.518,-22.69,-41.805,-29.212,-11.489,-30.578,-6.027,-21.978,-45.566,-30.067,-16.953,-32.605,-29.283,-20.868,-33.448,-28.5,-28.676,-31.15,-27.034,-70.887,-45.67
bs025,N,bs025_N_N_1.lm3,-43.156,35.615,39.651,-43.185,60.739,45.123,-9.588,36.325,44.826,20.638,35.858,41.276,48.137,59.47,43.573,49.9,36.552,38.989,-0.612,31.695,63.422,10.374,31.671,66.119,-11.504,-3.33,67.146,5.877,7.845,87.837,22.865,-3.286,67.64,-18.656,-34.37,61.256,5.456,-24.986,75.984,30.629,-34.292,57.967,4.751,-29.378,74.579,4.793,-33.971,70.759,4.807,-40.371,74.052,3.561,-75.15,63.141
bs026,N,bs026_N_N_0.lm3,-77.601,27.101,-92.151,-76.413,51.141,-82.551,-44.293,26.968,-85.083,-13.585,27.125,-83.547,11.229,55.373,-79.687,17.633,32.277,-91.024,-35.187,22.928,-75.653,-20.763,24.671,-78.694,-43.948,-11.416,-71.386,-25.864,-4.702,-53.54,-9.441,-11.289,-70.429,-50.391,-43.226,-85.213,-26.832,-32.051,-68.387,0.34,-42.889,-84.962,-26.035,-37.694,-70.498,-25.271,-40.194,-73.75,-25.962,-51.639,-75.988,-24.703,-86.932,-101.352
bs027,N,bs027_N_N_0.lm3,-47.988,18.824,-81.169,-50.341,44.609,-78.826,-18.031,20.633,-80.118,11.671,22.331,-84.196,31.511,48.849,-77.914,41.563,22.603,-89.749,-6.764,19.018,-61.792,5.096,20.628,-61.64,-17.829,-15.976,-64.041,0.537,-1.925,-39.26,18.139,-13.583,-66.941,-24.647,-52.734,-63.06,3.752,-34.586,-51.297,31.573,-46.873,-66.195,3.777,-43.247,-49.757,3.754,-47.278,-50.003,3.726,-56.176,-51.133,7.363,-95.747,-66.014
bs028,N,bs028_N_N_0.lm3,-78.354,-10.93,-21.019,-70.964,12.956,-10.521,-45.016,-12.364,-15.949,-13.478,-11.474,-15.64,6.505,13.165,-12.378,22.463,-11.66,-30.18,-35.425,-16.028,-5.387,-20.099,-16.709,-6.501,-44.537,-55.246,-4.705,-24.27,-49.675,17.036,-11.693,-54.571,-9.667,-49.147,-82.951,-6.763,-27.579,-74.631,4.032,-6.734,-82.848,-10.686,-27.578,-80.9,1.942,-27.596,-83.483,-2.504,-28.914,-91.905,-2.199,-29.63,-126.739,-14.371
bs029,N,bs029_N_N_0.lm3,-77.356,-11.778,-99.053,-71.6,13.503,-81.558,-42.014,-11.379,-87.68,-16.203,-8.818,-85.637,8.721,19.321,-83.74,18.41,-4.977,-98.898,-34.617,-12.697,-76.689,-22.629,-11.874,-81.202,-43.039,-48.159,-73.163,-27.455,-43.579,-57.05,-10.341,-49.222,-84.87,-52.437,-82.025,-90.89,-26.931,-71.237,-72.324,-3.046,-76.77,-87.425,-26.953,-77.052,-76.404,-26.135,-81.979,-78.379,-26.001,-89.161,-76.172,-23.756,-124.116,-92.945
bs030,N,bs030_N_N_0.lm3,-53.698,8.902,-8.457,-42.495,30.237,11.126,-20.623,9.009,-0.465,11.444,12.206,-3.771,26.411,31.133,10.822,43.996,12.244,-15.171,-14.374,11.238,8.158,4.49,11.329,7.84,-23.201,-27.372,14.144,-5.082,-19.981,37.903,13.713,-23.366,19.269,-33.109,-57.898,10.596,-3.538,-51.706,24.559,20.015,-56.951,9.683,-4.347,-54.834,23.186,-4.334,-57.86,23.995,-4.319,-63.948,24.193,-5.538,-97.589,14.917
bs031,N,bs031_N_N_0.lm3,-30.506,15.528,42.635,-28.266,37.031,48.669,-3.058,11.086,48.29,28.672,9.842,49.79,53.667,34.863,53.106,57.858,9.778,39.248,5.061,6.834,55.432,18.252,6.945,64.191,-2.065,-27.835,58.365,11.794,-20.619,78.45,28.815,-26.816,61.78,-8.094,-53.316,49.251,12.543,-47.415,59.661,34.23,-52.536,47.274,12.549,-52.619,58.871,12.559,-56.325,58.627,12.558,-60.856,57.302,9.945,-92.785,43.179
bs032,N,bs032_N_N_0.lm3,-70.175,-10.764,-120.908,-65.579,11.607,-107.945,-40.52,-9.762,-115.379,-4.238,-10.508,-116.24,23.555,10.211,-113.038,23.73,-8.984,-124.028,-29.747,-8.715,-102.938,-14.788,-7.812,-99.074,-40.487,-47.662,-95.968,-23.083,-44.07,-70.082,-4.01,-49.293,-99.206,-44.058,-79.872,-106.81,-23.444,-74.229,-92.226,-1.436,-81.599,-108.493,-23.424,-79.206,-94.311,-23.399,-81.67,-94.68,-24.039,-90.576,-93.654,-24.113,-127.368,-115.4
bs033,N,bs033_N_N_0.lm3,-67.521,33.193,-161.62,-65.607,57.475,-149.841,-39.471,32.324,-157.083,1.629,33.364,-158.64,30.175,56.869,-153.627,31.446,34.359,-167.138,-24.134,35.687,-145.864,-10.596,35.754,-140.205,-35.455,-8.474,-137.776,-16.141,-2.992,-111.656,3.55,-10.173,-137.676,-39.603,-42.729,-141.164,-14.309,-33.153,-126.393,12.134,-41.96,-144.177,-14.34,-39.896,-130.576,-15.158,-41.546,-130.221,-16.003,-48.043,-125.853,-14.27,-91.082,-139.291
bs033,N,bs033_N_N_1.lm3,-53.891,10.7,5.859,-53.739,33.393,16.569,-22.603,10.786,11.744,15.222,12.29,8.955,43.86,37.548,12.566,44.876,13.964,1.11,-10.605,15.312,20.836,3.471,16.177,20.528,-19.889,-25.593,36.35,-0.428,-22.178,56.537,18.312,-28.238,25.72,-26.041,-64.342,25.333,-2.019,-54.589,41.993,25.759,-61.201,26.253,-1.245,-59.149,39.557,-1.236,-61.477,37.694,-1.837,-69.406,42.553,-0.792,-108.119,33.516
bs034,N,bs034_N_N_0.lm3,-50.485,5.892,40.313,-49.976,24.406,52.911,-17.571,5.238,50.759,18.562,5.366,47.369,45.014,22.428,54.474,50.795,2.299,34.838,-7.846,4.026,61.143,9.061,5.46,60.61,-19.402,-31.497,60.641,-2.295,-26.058,89.268,15.665,-32.368,71.902,-26.031,-62.486,56.678,-1.002,-49.341,72.547,22.458,-63.221,55.614,-1.038,-59.206,65.838,-1.797,-60.535,69.235,-0.892,-70.52,68.767,-1.528,-105.209,54.326
bs034,N,bs034_N_N_1.lm3,-43.208,22.124,64.218,-43.055,42.401,75.124,-10.354,23.544,71.289,24.749,23.638,69.481,53.649,43.419,72.691,54.839,21.725,63.331,-1.548,25.05,78.743,15.647,24.31,85.9,-9.251,-11.815,90.364,7.363,-2.18,111.351,25.333,-13.094,92.702,-18.685,-42.387,82.095,8.961,-31.617,98.148,32.21,-42.355,79.746,8.898,-38.982,92.356,8.118,-41.17,90.361,6.751,-51.066,94.538,7.78,-83.329,84.826
bs035,N,bs035_N_N_0.lm3,-50.491,6.285,-147.797,-51.103,31.352,-136.794,-20.284,6.586,-139.773,13.646,8.128,-140.096,37.731,33.948,-131.034,47.374,7.411,-147.342,-8.461,11.62,-123.088,3.159,11.625,-120.943,-22.357,-31.466,-125.526,-2.438,-21.461,-95.438,15.697,-31.222,-120.333,-28.218,-66.366,-127.543,-0.765,-53.994,-109.491,25.697,-64.339,-124.991,-1.573,-58.182,-110.916,-0.795,-61.53,-113.867,-0.671,-70.306,-109.429,-1.398,-114.848,-124.647
bs035,N,bs035_N_N_1.lm3,-40.748,22.972,26.525,-42.077,43.853,34.122,-8.532,25.319,33.682,25.048,25.303,35.104,54.708,48.45,39.995,60.412,24.666,28.67,3.509,28.102,52.03,17.285,28.223,49.138,-8.14,-9.963,62.294,7.655,2.017,80.388,28.669,-9.364,57.967,-19.067,-48.607,51.219,11.012,-34.68,69.146,38.519,-45.561,53.916,11.72,-40.582,67.829,11.73,-43.585,65.045,11.704,-51.349,71.008,10.762,-95.923,61.15
bs036,N,bs036_N_N_0.lm3,-53.62,63.146,14.18,-44.94,90.585,23.213,-22.92,61.956,26.35,12.406,61.549,19.818,35.502,90.187,20.462,45.063,62.224,8.832,-13.817,56.489,37.65,3.397,56.613,31.669,-25.328,25.182,46.733,-6.104,28.793,60.2,17.7,25.994,29.842,-30.693,-9.872,32.482,-3.768,-3.503,52.392,25.233,-7.474,32.926,-2.957,-10.296,50.652,-2.943,-11.778,51.034,-3.124,-23.162,40.503,-2.926,-53.99,30.352
bs036,N,bs036_N_N_1.lm3,-51.28,37.279,33.762,-42.998,64.095,39.915,-19.852,38.136,40.617,14.99,39.067,37.802,36.605,64.271,38.517,46.519,39.006,29.423,-9.312,35.679,55.346,3.938,36.412,54.831,-23.673,3.387,64.501,-2.643,13.138,78.585,21.793,3.428,59.998,-28.126,-34.298,55.781,-1.585,-21.883,75.311,29.407,-29.72,55.502,-1.505,-32.257,71.45,-0.772,-35.104,73.071,-1.465,-44.916,69.021,-0.63,-73.785,57.91
bs037,N,bs037_N_N_0.lm3,-72.756,-7.07,-111.934,-63.236,12.691,-95.608,-38.331,-8.574,-106.945,-5.701,-7.56,-108.608,16.37,16.235,-98.175,26.345,-1.214,-117.277,-27.28,-15.298,-88.046,-15.966,-15.178,-84.165,-38.397,-46.214,-87.059,-21.942,-46.173,-68.145,-2.895,-48.14,-98.347,-44.693,-75.489,-107.234,-20.675,-69.884,-91.043,4.49,-74.975,-110.323,-20.766,-74.039,-93.691,-20.076,-75.909,-98.593,-22.342,-82.365,-97.437,-19.798,-111.376,-105.58
bs037,N,bs037_N_N_1.lm3,-52.293,-17.768,-85.594,-43.613,4.291,-65.492,-16.652,-19.016,-77.148,16.354,-18.261,-75.151,37.575,5.941,-66.426,51.125,-11.355,-90.847,-5.237,-25.965,-59.41,8.184,-24.964,-52.722,-15.316,-54.561,-57.464,1.13,-55.034,-36.014,19.356,-52.598,-53.512,-20.97,-85.049,-75.152,2.271,-79.024,-58.013,29.544,-84.157,-78.19,3.067,-83.468,-64.333,3.07,-85.154,-65.38,3.096,-91.691,-67.541,4.004,-117.926,-70.626
